"X","all","all_genus","mam","mam_genus","amph","amph_genus","rep","rep_genus","tree_height","tree_density","elevation","temp","precip","ID","country","island","BGR","vert_all","mam_all","amp_all","rep_all","x","y"
13143,1,1,0,0,1,1,0,0,0.5335508,2173.529,99.1156,25.37573,107.4096,51,"Brazil",NA,22,282,120,44,118,-56.5606,-19.763377493
13144,5,5,0,0,4,4,1,1,31.08988,45585.69,56.04922,26.3732,199.1212,51,"Brazil",NA,22,429,174,92,163,-63.4206,-5.893377493
13145,4,4,0,0,3,3,1,1,26.59705,45382.36,46.20844,27.07365,179.375,51,"Brazil",NA,22,406,173,73,160,-61.5606,-0.783377493000003
13146,4,4,0,0,3,3,1,1,31.1198043823242,45868.73046875,711.954711914062,22.9656814575195,270.348907470703,30,"Venezuela",NA,22,355,194,32,129,-64.7506,4.54662250700001
13147,5,5,0,0,4,4,1,1,37.00529,40692.41,305.3155,24.79135,150.4422,51,"Brazil",NA,22,425,190,102,133,-70.1906,-10.553377493
13148,3,3,0,0,3,3,0,0,28.6051959991455,45751.0625,237.5966796875,26.9839782714844,221.230331420898,11,"Colombia",NA,22,347,159,51,137,-71.8106,2.06662250700001
13149,1,1,0,0,1,1,0,0,21.69837,51602.95,391.1779,19.39185,151.866,51,"Brazil",NA,22,239,106,35,98,-53.8706,-25.333377493
13150,4,4,0,0,3,3,1,1,34.05039,44337.55,263.5911,26.36314,159.5229,63,"Guyana",NA,22,398,175,69,154,-58.9006,1.476622507
13151,4,4,0,0,3,3,1,1,26.39473,44289.57,65.04484,26.84787,224.0204,51,"Brazil",NA,22,389,167,70,152,-64.2606,0.416622507
13152,5,5,0,0,4,4,1,1,35.7675170898438,52812.0390625,141.868286132812,25.7224029541016,262.007568359375,11,"Colombia",NA,22,429,168,96,165,-70.3906,-2.04337749299999
13153,4,4,0,0,3,3,1,1,39.99185,48230.4,142.1733,25.5769,201.3674,51,"Brazil",NA,22,414,182,86,146,-52.7006,2.226622507
13154,4,4,0,0,3,3,1,1,30.93697,45082.11,60.36279,26.88211,188.0092,51,"Brazil",NA,22,398,163,80,155,-57.4806,-4.253377493
13155,4,4,0,0,3,3,1,1,30.99818,63712.09,393.5387,25.42397,171.0514,51,"Brazil",NA,22,393,169,68,156,-55.2706,0.906622507000009
13156,4,4,0,0,3,3,1,1,27.501579284668,40805.625,337.516296386719,25.6080657958984,265.301513671875,30,"Venezuela",NA,22,329,177,28,124,-64.9206,5.59662250700001
13157,4,4,0,0,3,3,1,1,33.35342,48071.61,72.46528,27.17101,188.9728,51,"Brazil",NA,22,419,171,82,166,-57.3406,-1.463377493
13158,4,4,0,0,3,3,1,1,19.08758,38458.61,38.89258,26.99227,176.4116,51,"Brazil",NA,22,417,180,79,158,-61.8306,-1.213377493
13159,4,4,0,0,3,3,1,1,39.87448,48926.4,172.8038,25.60599,205.5477,51,"Brazil",NA,22,404,176,81,147,-52.4906,1.84662250700001
13160,4,4,0,0,3,3,1,1,36.24047,45330.88,170.8609,24.93245,180.3186,51,"Brazil",NA,22,391,155,74,162,-51.5406,-4.20337749299999
13161,4,4,0,0,3,3,1,1,21.05663,42981.38,51.3498,27.1588,175.5342,51,"Brazil",NA,22,403,176,71,156,-61.6806,0.456622507000006
13162,4,4,0,0,3,3,1,1,28.47177,39201.49,295.755,24.77959,158.7296,51,"Brazil",NA,22,355,137,65,153,-50.9806,-5.833377493
13163,4,4,0,0,3,3,1,1,28.8381900787354,34658.39453125,122.396492004395,27.4782257080078,223.402130126953,30,"Venezuela",NA,22,355,191,34,130,-66.3306,5.09662250700001
13164,5,5,0,0,4,4,1,1,31.66467,46287.02,68.09438,26.33142,207.123,51,"Brazil",NA,22,427,170,94,163,-63.0106,-5.693377493
13165,2,2,0,0,1,1,1,1,25.506685256958,59317.52734375,54.9912185668945,26.4214935302734,482.159088134766,11,"Colombia",NA,22,322,142,68,112,-76.6806,4.59662250700001
13166,3,3,0,0,3,3,0,0,30.395206451416,44766.48828125,257.074615478516,26.8172180175781,199.250595092773,11,"Colombia",NA,22,349,166,49,134,-72.9906,1.73662250700001
13167,4,4,0,0,3,3,1,1,20.3468570709229,34702.5234375,108.244651794434,27.1407043457031,275.304168701172,30,"Venezuela",NA,22,379,189,53,137,-66.7206,3.48662250700001
13168,3,3,0,0,3,3,0,0,34.45049,38406.12,330.3301,25.20786,183.9054,51,"Brazil",NA,22,366,145,79,142,-58.4906,-8.783377493
13169,4,4,0,0,3,3,1,1,38.16175,40294.99,270.7749,25.95481,187.1671,51,"Brazil",NA,22,368,137,77,154,-56.6906,-6.443377493
13170,4,4,0,0,3,3,1,1,34.24089,44825.17,141.8145,26.64699,189.5943,51,"Brazil",NA,22,413,169,79,165,-56.6406,-4.213377493
13171,4,4,0,0,3,3,1,1,20.65717,21813.28,133.8899,26.54818,134.2008,51,"Brazil",NA,22,395,168,80,147,-65.3106,-11.433377493
13172,4,4,0,0,3,3,1,1,30.27701,45429.22,345.4432,25.73872,183.1994,51,"Brazil",NA,22,399,166,72,161,-55.6306,-0.0333774930000033
13173,4,4,0,0,3,3,1,1,31.7031440734863,48258.515625,247.835678100586,26.2736633300781,234.201797485352,11,"Colombia",NA,22,389,169,70,150,-72.9206,0.0466225070000093
13174,6,5,0,0,4,4,2,1,30.64184,47601.18,63.24604,26.59586,219.6792,51,"Brazil",NA,22,415,166,90,159,-63.3406,-2.583377493
13175,4,4,0,0,3,3,1,1,28.2805919647217,37634.8828125,343.922515869141,26.2752990722656,242.239135742188,30,"Venezuela",NA,22,324,176,31,117,-64.8506,6.06662250700001
13176,4,4,0,0,3,3,1,1,27.24546,45734.3,95.2513,26.65874,223.8489,51,"Brazil",NA,22,395,168,73,154,-65.3106,0.286622507000004
13177,3,3,0,0,3,3,0,0,35.68896,38588.18,121.258,25.41372,179.1789,51,"Brazil",NA,22,375,144,83,148,-60.1606,-9.09337749299999
